service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
444,0,1,0,1,0,0,0,2026-06-23,2026-09-21
473,1,1,1,1,1,0,0,2026-06-23,2026-09-21
474,1,1,1,1,1,0,0,2026-06-23,2026-09-21
475,0,0,0,1,0,0,0,2026-06-23,2026-09-21
476,0,0,0,0,1,0,0,2026-06-23,2026-09-21
477,0,0,0,0,0,1,0,2026-06-23,2026-09-21
478,1,1,1,1,1,0,0,2026-06-23,2026-09-21
479,0,0,0,0,0,1,0,2026-06-23,2026-09-21
480,0,0,0,0,1,0,0,2026-06-23,2026-09-21
482,0,0,0,0,0,1,0,2026-06-23,2026-09-21
487,0,0,0,0,0,0,1,2026-06-23,2026-09-21
488,1,1,1,1,1,0,0,2026-06-23,2026-09-21
493,1,1,1,1,1,0,0,2026-06-23,2026-09-21
498,0,0,0,0,0,0,1,2026-06-23,2026-09-21
499,0,0,1,0,0,0,0,2026-06-23,2026-09-21
502,1,1,0,1,1,0,0,2026-06-23,2026-09-21
522,0,0,0,0,0,1,0,2026-06-23,2026-09-21
580,0,0,0,0,0,1,0,2026-06-23,2026-09-21
581,0,0,0,0,0,1,0,2026-06-23,2026-09-21
610,1,1,1,1,1,0,0,2026-06-23,2026-09-21
611,0,0,0,0,1,0,0,2026-06-23,2026-09-21
612,0,0,0,0,0,1,0,2026-06-23,2026-09-21
613,0,0,0,0,0,0,1,2026-06-23,2026-09-21
614,0,0,0,0,0,0,1,2026-06-23,2026-09-21
623,0,0,0,0,0,1,0,2026-06-23,2026-09-21
635,0,0,0,0,0,1,0,2026-06-23,2026-09-21
661,0,0,0,0,0,1,0,2026-06-23,2026-09-21
681,0,0,0,0,0,1,0,2026-06-23,2026-09-21
682,0,0,0,0,0,1,0,2026-06-23,2026-09-21
684,0,0,0,0,0,1,0,2026-06-23,2026-09-21
689,0,0,0,0,0,1,0,2026-06-23,2026-09-21
703,0,0,0,0,0,1,0,2026-06-23,2026-09-21
712,1,1,1,1,1,0,0,2026-06-23,2026-09-21
716,0,1,1,1,0,0,0,2026-06-23,2026-09-21
717,1,0,0,0,0,0,0,2026-06-23,2026-09-21
718,1,0,1,0,0,0,0,2026-06-23,2026-09-21
719,1,0,1,0,1,0,0,2026-06-23,2026-09-21
737,0,0,0,0,0,0,1,2026-06-23,2026-09-21
738,1,1,0,1,0,0,0,2026-06-23,2026-09-21
739,0,0,1,0,1,0,0,2026-06-23,2026-09-21
762,1,1,0,1,0,0,0,2026-06-23,2026-09-21
776,0,0,0,0,0,0,0,2026-06-23,2026-09-21
777,0,0,0,0,0,0,0,2026-06-23,2026-09-21
778,0,0,0,0,0,0,0,2026-06-23,2026-09-21
779,0,0,0,0,0,0,0,2026-06-23,2026-09-21
780,0,0,0,0,0,0,0,2026-06-23,2026-09-21
781,0,0,0,0,0,0,0,2026-06-23,2026-09-21
782,0,0,0,0,0,0,0,2026-06-23,2026-09-21
783,0,0,0,0,0,0,0,2026-06-23,2026-09-21
784,0,0,0,0,0,0,0,2026-06-23,2026-09-21
822,0,0,0,0,0,0,1,2026-06-23,2026-09-21
823,0,0,0,0,0,1,0,2026-06-23,2026-09-21
824,1,1,1,1,1,0,0,2026-06-23,2026-09-21
825,0,0,0,0,1,0,0,2026-06-23,2026-09-21
847,0,0,0,0,0,1,0,2026-06-23,2026-09-21
856,0,0,0,0,0,1,0,2026-06-23,2026-09-21
859,0,0,0,0,0,1,0,2026-06-23,2026-09-21
863,0,0,0,0,0,1,0,2026-06-23,2026-09-21
866,0,0,0,0,0,0,1,2026-06-23,2026-09-21
