location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,supported_modes,iptiscode,_has_coordinates
0,,15608,15608,Kenny St After Reid St,Kenny St / Reid St,-31.9146730859,115.94571694,2,Bus,,True
0,,15610,15610,Reid St After Berry Ct,,-31.9141247033,115.947802231,2,Bus,,True
0,,15611,15611,Reid St After Hamilton St,,-31.9150668741,115.951061248,2,Bus,,True
0,,15612,15612,Reid St After Whitfield St,,-31.9153326668,115.951396189,2,Bus,,True
0,,15613,15613,Reid St After Iveson Pl,,-31.914318339,115.94848009,2,Bus,,True
0,,15616,15616,Marshall Rd After Dulwich St,,-31.8557091363,115.958972388,2,Bus,,True
0,,15619,15619,Marshall Rd After Roedean St,,-31.8555891308,115.959077944,2,Bus,,True
0,,15624,15624,Benara Rd After Waldeck Rd,Benara Rd / Waldeck Rd,-31.8757527777778,115.963836111111,2,Bus,,True
0,,15626,15626,Benara Rd Before Lord St,,-31.8756461111111,115.956668333333,2,Bus;School Bus,,True
0,,15627,15627,Benara Rd After Sturtridge Rd,,-31.8756727777778,115.951107777778,2,Bus,,True
0,,15628,15628,Benara Rd After Brockmill Av,,-31.8756677486,115.947381858,2,Bus,,True
0,,15629,15629,Benara Rd After Altone Rd,,-31.8756690618,115.943322771,2,Bus,,True
0,,15630,15630,Benara Rd Before Danube Av,,-31.8756468623,115.939805598,2,Bus,,True
0,,15631,15631,Benara Rd Before Milligan Av,Kiara College,-31.8756178002,115.933988372,2,Bus,,True
0,,15632,15632,Benara Rd After Bottlebrush Dr,,-31.87563,115.929305555556,2,Bus,,True
0,,15633,15633,Benara Rd - Beechboro Central Shopping Ctr,,-31.8756294444444,115.926952222222,2,Bus,,True
0,,15634,15634,Benara Rd After Maxwell Av,,-31.8756053174,115.908912745,2,Bus,,True
0,,15635,15635,Benara Rd After Crimea St,Benara Rd / Crimea St,-31.8755877777778,115.903061111111,2,Bus,,True
0,,15636,15636,Benara Rd After Strutt Wy,Benara Rd / Holden Dr,-31.8755603582,115.899914402,2,Bus,,True
0,,15637,15637,Benara Rd After Holden Dr,,-31.8755583674,115.897658408,2,Bus,,True
0,,15638,15638,Benara Rd After Mcgilvray Av,,-31.875426874,115.897436316,2,Bus,,True
0,,15639,15639,Benara Rd After Holden Dr,Benara Rd / Holden Dr,-31.8754297269,115.899452258,2,Bus,,True
0,,15640,15640,Benara Rd Before Crimea St,Benara Rd / Crimea St,-31.8753886682,115.903171378,2,Bus,,True
0,,15641,15641,Benara Rd After Watt Rd,,-31.8753993451,115.908306355,2,Bus,,True
0,,15642,15642,Benara Rd After Beechboro Rd,,-31.875416594,115.926994291,2,Bus,,True
0,,15643,15643,Benara Rd After Wattle Dr,,-31.8753861111111,115.929585,2,Bus,,True
0,,15644,15644,Benara Rd After Milligan Av,Kiara College,-31.8754155256,115.933990266,2,Bus,,True
0,,15645,15645,Benara Rd After Danube Av,,-31.875535479,115.939344841,2,Bus,,True
0,,15646,15646,Benara Rd Before Altone Rd,,-31.8754844785,115.943775211,2,Bus,,True
0,,15647,15647,Benara Rd After Altone Rd,,-31.8755519783,115.947279958,2,Bus,,True
0,,15648,15648,Benara Rd After Weddall Rd,,-31.8755616666667,115.950981666667,2,Bus,,True
0,,15649,15649,Benara Rd After Lord St,Benara Rd / Lord St,-31.8755816666667,115.956746111111,2,Bus;School Bus,,True
0,,15655,15655,Altone Rd Before Driftwood Wy,Altone Rd / Bennett Springs Dr,-31.8566244444444,115.945401666667,2,Bus,,True
0,,15656,15656,Altone Rd After Spoonbill Pass,,-31.858765,115.945668333333,2,Bus,,True
0,,15657,15657,Altone Rd After Thorburn Av,Altone Rd / Thorburn Av,-31.8659648376,115.94484,2,Bus,,True
0,,15658,15658,Altone Rd After Small St,,-31.8689438888889,115.944846111111,2,Bus,,True
0,,15659,15659,Altone Rd After Amazon Dr,Altone Park Shop Ctr,-31.870645,115.944800555556,2,Bus,,True
0,,15660,15660,Altone Rd After Maguire Av,,-31.8738595014,115.944778226,2,Bus,,True
0,,15661,15661,Altone Rd After Beckworth Av,,-31.8833577777778,115.944406111111,2,Bus,,True
